날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2019-05-09	6393 	1149998 	975749060 	110547 	104262986620 	11986726 
2019-05-10	6562 	1177811 	1577040950 	167809 	105840027570 	12154535 
2019-05-11	6557 	1173130 	3266295450 	354219 	109106323020 	12508754 
2019-05-12	6308 	1128727 	2662203710 	290778 	111768526730 	12799532 
2019-05-13	5771 	1045010 	738237210 	82378 	112506763940 	12881910 
2019-05-14	5639 	1026149 	623285230 	69900 	113130049170 	12951810 
2019-05-15	3056 	514769 	544258900 	62153 	113674308070 	13013963 
2019-05-16	2841 	484961 	460077350 	50837 	114134385420 	13064800 
2019-05-17	2894 	487694 	709870250 	73269 	114844255670 	13138069 
2019-05-18	3024 	491873 	1600761920 	169574 	116445017590 	13307643 
2019-05-19	2971 	485140 	1360038530 	145997 	117805056120 	13453640 
2019-05-20	2668 	446387 	374520120 	41642 	118179576240 	13495282 
2019-05-21	2644 	444752 	328284600 	36047 	118507860840 	13531329 
2019-05-22	2205 	372635 	330876580 	35466 	118838737420 	13566795 
2019-05-23	1103 	160936 	205602340 	22425 	119044339760 	13589220 
2019-05-24	1185 	168807 	309539180 	31296 	119353878940 	13620516 
2019-05-25	1328 	184187 	651381840 	69510 	120005260780 	13690026 
2019-05-26	1278 	175677 	542835530 	58990 	120548096310 	13749016 
2019-05-27	1227 	173784 	201585780 	21943 	120749682090 	13770959 
2019-05-28	1205 	169929 	165592030 	18890 	120915274120 	13789849 
2019-05-29	525 	65864 	97807010 	15369 	121013081130 	13805218 
2019-05-30	231 	28941 	44288450 	5452 	121057369580 	13810670 
2019-05-31	231 	27828 	73063280 	8196 	121130432860 	13818866 
2019-06-01	207 	23921 	114133860 	13071 	121244566720 	13831937 
2019-06-02	208 	24096 	103358010 	11972 	121347924730 	13843909 
2019-06-03	237 	28234 	40915800 	5067 	121388840530 	13848976 
2019-06-04	238 	29354 	41178960 	5092 	121430019490 	13854068 
2019-06-05	98 	12002 	23517850 	2888 	121453537340 	13856956 
2019-06-06	70 	7737 	45311150 	5247 	121498848490 	13862203 
2019-06-07	74 	7928 	35741130 	4137 	121534589620 	13866340 
2019-06-08	80 	9112 	43765040 	4979 	121578354660 	13871319 
2019-06-09	79 	8938 	35305710 	4011 	121613660370 	13875330 
2019-06-10	93 	11008 	15707520 	1932 	121629367890 	13877262 
2019-06-11	90 	10402 	13224830 	1607 	121642592720 	13878869 
2019-06-12	80 	8791 	9575010 	1168 	121652167730 	13880037 
2019-06-13	80 	9242 	9875280 	1189 	121662043010 	13881226 
2019-06-14	81 	9570 	14648350 	1617 	121676691360 	13882843 
2019-06-15	78 	9186 	23968430 	2670 	121700659790 	13885513 
2019-06-16	76 	8905 	20768300 	2300 	121721428090 	13887813 
2019-06-17	76 	9242 	10643110 	1275 	121732071200 	13889088 
2019-06-18	79 	9640 	11008110 	1322 	121743079310 	13890410 
2019-06-19	56 	6608 	7475910 	893 	121750555220 	13891303 
2019-06-20	39 	4112 	5805300 	720 	121756360520 	13892023 
2019-06-21	43 	5235 	8683590 	933 	121765044110 	13892956 
2019-06-22	41 	4744 	14762730 	1611 	121779806840 	13894567 
2019-06-23	37 	4395 	11414960 	1272 	121791221800 	13895839 
2019-06-24	81 	18387 	32111500 	2966 	121823333300 	13898805 
2019-06-25	78 	18563 	29293980 	2608 	121852627280 	13901413 
2019-06-26	56 	15975 	25150780 	2244 	121877778060 	13903657 
2019-06-27	57 	16059 	26270540 	2265 	121904048600 	13905922 
2019-06-28	56 	16426 	34284280 	2976 	121938332880 	13908898 
2019-06-29	60 	16694 	58532280 	5271 	121996865160 	13914169 
2019-06-30	58 	16484 	51649040 	4590 	122048514200 	13918759 
2019-07-01	21 	2369 	5054870 	594 	122053569070 	13919353 
2019-07-02	10 	743 	1329630 	166 	122054898700 	13919519 
2019-07-03	11 	867 	2917690 	355 	122057816390 	13919874 
2019-07-04	11 	867 	3420480 	421 	122061236870 	13920295 
2019-07-05	10 	763 	3540900 	378 	122064777770 	13920673 
2019-07-06	13 	1214 	6154460 	707 	122070932230 	13921380 
2019-07-07	13 	1207 	6115360 	710 	122077047590 	13922090 
2019-07-08	15 	1294 	3868740 	477 	122080916330 	13922567 
2019-07-09	14 	1278 	3861910 	479 	122084778240 	13923046 
2019-07-10	15 	1329 	3725240 	462 	122088503480 	13923508 
2019-07-11	13 	1475 	4000190 	493 	122092503670 	13924001 
2019-07-12	14 	1517 	5377940 	583 	122097881610 	13924584 
2019-07-13	15 	1689 	8261320 	937 	122106142930 	13925521 
2019-07-14	15 	1689 	8748540 	986 	122114891470 	13926507 
2019-07-15	15 	1970 	3973680 	483 	122118865150 	13926990 
2019-07-16	15 	1911 	4213930 	502 	122123079080 	13927492 
2019-07-17	12 	1164 	2972500 	363 	122126051580 	13927855 
2019-07-18	12 	1180 	3170940 	385 	122129222520 	13928240 
2019-07-19	12 	1180 	3561910 	394 	122132784430 	13928634 
2019-07-20	13 	1234 	5576680 	635 	122138361110 	13929269 
2019-07-21	13 	1234 	5222320 	615 	122143583430 	13929884 
2019-07-22	17 	1862 	3145130 	383 	122146728560 	13930267 
2019-07-23	17 	1862 	3439040 	422 	122150167600 	13930689 
2019-07-24	17 	1769 	2997080 	367 	122153164680 	13931056 
2019-07-25	16 	1719 	2904620 	361 	122156069300 	13931417 
2019-07-26	18 	1997 	3334040 	363 	122159403340 	13931780 
2019-07-27	16 	1777 	5403300 	599 	122164806640 	13932379 
2019-07-28	16 	1777 	4201170 	464 	122169007810 	13932843 
2019-07-29	17 	1846 	2628920 	320 	122171636730 	13933163 
2019-07-30	16 	1810 	2678000 	334 	122174314730 	13933497 
2019-07-31	5 	285 	847360 	136 	122175162090 	13933633 
2019-08-01	6 	449 	938960 	117 	122176101050 	13933750 
2019-08-02	6 	487 	779300 	93 	122176880350 	13933843 
2019-08-03	6 	487 	970100 	112 	122177850450 	13933955 
2019-08-04	7 	591 	1061460 	122 	122178911910 	13934077 
2019-08-05	6 	389 	639500 	82 	122179551410 	13934159 
2019-08-06	6 	517 	535300 	69 	122180086710 	13934228 
2019-08-07	2 	364 	133500 	17 	122180220210 	13934245 
2019-08-08	2 	364 	206800 	28 	122180427010 	13934273 
2019-08-09	2 	244 	128000 	18 	122180555010 	13934291 
2019-08-10	2 	244 	220150 	33 	122180775160 	13934324 
2019-08-11	2 	244 	244000 	36 	122181019160 	13934360 
2019-08-12	2 	307 	166800 	22 	122181185960 	13934382 
2019-08-13	2 	307 	235000 	30 	122181420960 	13934412 
2019-08-14	1 	80 	65300 	10 	122181486260 	13934422 
2019-08-15	1 	80 	212000 	32 	122181698260 	13934454 
2019-08-16	1 	80 	147300 	22 	122181845560 	13934476 
2019-08-17	1 	80 	120000 	18 	122181965560 	13934494 
2019-08-18	1 	80 	101000 	15 	122182066560 	13934509 
2019-08-19	1 	200 	39000 	5 	122182105560 	13934514 
2019-08-20	1 	200 	143000 	19 	122182248560 	13934533 
2019-08-21	1 	143 	32000 	4 	122182280560 	13934537 
2019-08-22	1 	143 	77000 	10 	122182357560 	13934547 
2019-08-23	1 	143 	54000 	7 	122182411560 	13934554 
2019-08-24	1 	143 	60600 	8 	122182472160 	13934562 
2019-08-25	1 	143 	95000 	13 	122182567160 	13934575 
2019-08-26	1 	80 	13000 	2 	122182580160 	13934577 
2019-08-27	1 	143 	114000 	15 	122182694160 	13934592 
2020-04-29	691 	129003 	51889400 	6980 	122234583560 	13941572 
2020-04-30	750 	140162 	62780100 	8809 	122297363660 	13950381 
2020-05-01	647 	120898 	40896600 	5624 	122338260260 	13956005 
2020-05-02	617 	114326 	41190160 	5766 	122379450420 	13961771 
2020-05-03	609 	112330 	40021420 	5656 	122419471840 	13967427 
2020-05-04	531 	97049 	25475240 	3507 	122444947080 	13970934 
2020-05-05	587 	105092 	47233940 	6668 	122492181020 	13977602 
