날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-20	8507 	1383016 	1606975118 	158157 	1682670118 	165584 
2022-07-21	7700 	1259497 	1181671860 	115656 	2864341978 	281240 
2022-07-22	7546 	1232591 	1410114101 	131531 	4274456079 	412771 
2022-07-23	6967 	1126951 	2751630973 	253707 	7026087052 	666478 
2022-07-24	6661 	1070990 	2657431029 	246789 	9683518081 	913267 
2022-07-25	6113 	976269 	852020713 	82901 	10535538794 	996168 
2022-07-26	5999 	963183 	732264286 	71696 	11267803080 	1067864 
2022-07-27	2167 	293919 	513897247 	63169 	11781700327 	1131033 
2022-07-28	1969 	259746 	393086726 	39114 	12174787053 	1170147 
2022-07-29	1935 	251832 	478744771 	44967 	12653531824 	1215114 
2022-07-30	1851 	243769 	796481323 	73678 	13450013147 	1288792 
2022-07-31	1809 	237872 	750665885 	68903 	14200679032 	1357695 
2022-08-01	1798 	222242 	404644694 	40373 	14605323726 	1398068 
2022-08-02	1804 	221202 	363649895 	36506 	14968973621 	1434574 
2022-08-03	589 	65053 	110505416 	10961 	15079479037 	1445535 
2022-08-04	573 	63938 	90907999 	9290 	15170387036 	1454825 
2022-08-05	576 	64834 	113278760 	11557 	15283665796 	1466382 
