날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-06	11001 	1765114 	4052868890 	382188 	4078792890 	383898 
2022-07-07	10458 	1710726 	2113763200 	196521 	6192556090 	580419 
2022-07-08	10418 	1708279 	2792271590 	251400 	8984827680 	831819 
2022-07-09	10110 	1654947 	5702930050 	518621 	14687757730 	1350440 
2022-07-10	9524 	1572639 	4539791580 	414217 	19227549310 	1764657 
2022-07-11	8159 	1347389 	1116495660 	103050 	20344044970 	1867707 
2022-07-12	7856 	1295518 	920276140 	85550 	21264321110 	1953257 
2022-07-13	5058 	845817 	847322740 	80971 	22111643850 	2034228 
2022-07-14	4837 	807759 	647616390 	61169 	22759260240 	2095397 
2022-07-15	4874 	806076 	922846060 	84112 	23682106300 	2179509 
2022-07-16	4895 	797370 	1931007560 	173456 	25613113860 	2352965 
2022-07-17	4692 	761589 	1553987040 	140856 	27167100900 	2493821 
2022-07-18	4156 	673873 	439392590 	42311 	27606493490 	2536132 
2022-07-19	4106 	660956 	407603700 	38827 	28014097190 	2574959 
2022-07-20	1045 	119111 	165754040 	16401 	28179851230 	2591360 
2022-07-21	1037 	119103 	147173494 	14458 	28327024724 	2605818 
2022-07-22	1028 	121075 	181266598 	16938 	28508291322 	2622756 
2022-07-23	928 	107834 	313977856 	28708 	28822269178 	2651464 
2022-07-24	914 	105199 	284833134 	26261 	29107102312 	2677725 
2022-07-25	893 	105126 	110762888 	10723 	29217865200 	2688448 
2022-07-26	918 	107696 	112977098 	10931 	29330842298 	2699379 
2022-07-27	71 	7862 	19469099 	2620 	29350311397 	2701999 
2022-07-28	55 	6173 	16352899 	1427 	29366664296 	2703426 
2022-07-29	60 	6255 	17855599 	1623 	29384519895 	2705049 
2022-07-30	69 	7437 	29228469 	2549 	29413748364 	2707598 
2022-07-31	68 	6949 	23716880 	2102 	29437465244 	2709700 
2022-08-01	50 	5324 	12191860 	1081 	29449657104 	2710781 
2022-08-02	51 	5369 	12040299 	1082 	29461697403 	2711863 
2022-08-03	17 	1878 	4008420 	336 	29465705823 	2712199 
2022-08-04	15 	1600 	3020600 	267 	29468726423 	2712466 
2022-08-05	20 	2497 	6963400 	965 	29475689823 	2713431 
